Instance,Terminal,Layer,X location,Y location,Voltage
TAP_TAPCELL_ROW_0_41,VGND,li1,57.2700,11.1710,0.000011
TAP_TAPCELL_ROW_0_40,VGND,li1,44.3900,11.1710,0.000011
TAP_TAPCELL_ROW_0_39,VGND,li1,31.5100,11.1710,0.000009
TAP_TAPCELL_ROW_0_38,VGND,li1,18.6300,11.1710,0.000008
PHY_EDGE_ROW_18_Left_37,VGND,li1,6.2100,59.8400,0.000020
PHY_EDGE_ROW_17_Left_36,VGND,li1,6.2100,59.8400,0.000020
PHY_EDGE_ROW_16_Left_35,VGND,li1,6.2100,54.4000,0.000017
PHY_EDGE_ROW_15_Left_34,VGND,li1,6.2100,54.4000,0.000017
PHY_EDGE_ROW_14_Left_33,VGND,li1,6.2100,48.9600,0.000016
PHY_EDGE_ROW_13_Left_32,VGND,li1,6.2100,48.9600,0.000016
PHY_EDGE_ROW_12_Left_31,VGND,li1,6.2100,43.5200,0.000019
PHY_EDGE_ROW_11_Left_30,VGND,li1,6.2100,43.5200,0.000019
PHY_EDGE_ROW_10_Left_29,VGND,li1,6.2100,38.0800,0.000022
PHY_EDGE_ROW_9_Left_28,VGND,li1,6.2100,38.0800,0.000022
PHY_EDGE_ROW_8_Left_27,VGND,li1,6.2100,32.6400,0.000010
PHY_EDGE_ROW_7_Left_26,VGND,li1,6.2100,32.6400,0.000010
PHY_EDGE_ROW_6_Left_25,VGND,li1,6.2100,27.2000,0.000024
PHY_EDGE_ROW_5_Left_24,VGND,li1,6.2100,27.2000,0.000024
